geneID,GeneName,Chrom,Strand,Start,End,GeneLength,BC_1_readcount,BC_2_readcount,BC_3_readcount,BC_DOX_1_readcount,BC_DOX_2_readcount,BC_DOX_3_readcount,DL_1_readcount,DL_2_readcount,DL_3_readcount,DL_DOX_1_readcount,DL_DOX_2_readcount,DL_DOX_3_readcount,HT_1_readcount,HT_2_readcount,HT_3_readcount,HT_ZN_1_readcount,HT_ZN_2_readcount,HT_ZN_3_readcount,L8_1_readcount,L8_2_readcount,L8_3_readcount,L8_DOX_1_readcount,L8_DOX_2_readcount,L8_DOX_3_readcount,BC_1_fpkm,BC_2_fpkm,BC_3_fpkm,BC_DOX_1_fpkm,BC_DOX_2_fpkm,BC_DOX_3_fpkm,DL_1_fpkm,DL_2_fpkm,DL_3_fpkm,DL_DOX_1_fpkm,DL_DOX_2_fpkm,DL_DOX_3_fpkm,HT_1_fpkm,HT_2_fpkm,HT_3_fpkm,HT_ZN_1_fpkm,HT_ZN_2_fpkm,HT_ZN_3_fpkm,L8_1_fpkm,L8_2_fpkm,L8_3_fpkm,L8_DOX_1_fpkm,L8_DOX_2_fpkm,L8_DOX_3_fpkm,DL_group_fpkm,BC_DOX_group_fpkm,HT_ZN_group_fpkm,BC_group_fpkm,HT_group_fpkm,DL_DOX_group_fpkm,L8_DOX_group_fpkm,L8_group_fpkm,L8_DOX(L8_DOXvsL8),L8(L8_DOXvsL8),log2FoldChange(L8_DOXvsL8),pvalue(L8_DOXvsL8),padj(L8_DOXvsL8),significant(L8_DOXvsL8),DL_DOX(DL_DOXvsDL),DL(DL_DOXvsDL),log2FoldChange(DL_DOXvsDL),pvalue(DL_DOXvsDL),padj(DL_DOXvsDL),significant(DL_DOXvsDL),BC_DOX(BC_DOXvsBC),BC(BC_DOXvsBC),log2FoldChange(BC_DOXvsBC),pvalue(BC_DOXvsBC),padj(BC_DOXvsBC),significant(BC_DOXvsBC),HT_ZN(HT_ZNvsHT),HT(HT_ZNvsHT),log2FoldChange(HT_ZNvsHT),pvalue(HT_ZNvsHT),padj(HT_ZNvsHT),significant(HT_ZNvsHT),GeneType,GeneDescription
ENSG00000149243,KLHL35,chr11,-,75133438,75141674,2497,1539,1045,1036,1059,1125,741,409,262,276,303,353,291,1253,1014,1185,740,954,947,200,159,137,155,156,86,25.645374,26.52955067,25.31415444,15.80682825,18.09006574,14.935406,7.574276212,6.117530372,7.071110216,6.240477386,5.91878659,6.256043758,29.65415372,28.87610178,31.78833711,18.60081278,18.00438336,17.91235172,3.728456487,2.931246775,2.383762207,2.705425504,2.941092673,2.429992227,6.920972267,16.27743333,18.17251595,25.82969304,30.10619754,6.138435911,2.692170135,3.01448849,137.555983,153.7616874,-0.11354,0.41702,0.68333,FALSE,292.6172246,331.0277848,-0.17667,0.12672,0.23556,FALSE,865.0880481,1302.357927,-0.58531,3.39E-14,1.71E-13,TRUE,825.1357108,1205.532483,-0.54526,4.14E-16,3.30E-15,TRUE,protein_coding,kelch-like_family_member_35
ENSG00000162599,NFIA,chr1,+,61330931,61928465,9487,1920,1191,1257,1694,1489,1193,602,570,475,471,616,512,604,542,539,306,394,389,2037,2045,2158,2030,1913,1260,8.420953859,7.958202892,8.084042526,6.655057654,6.301906597,6.328909863,2.934296284,3.502993571,3.203035675,2.553205282,2.718493693,2.897119381,3.762366025,4.06246411,3.805641432,2.024469649,1.957112273,1.936608672,9.994929937,9.9228908,9.882878247,9.325874383,9.492677414,9.37058318,3.213441843,6.428624705,1.972730198,8.154399759,3.876823855,2.722939452,9.396378326,9.933566328,1824.414915,1922.223737,-0.073135,0.15535,0.38957,FALSE,492.9869782,583.421282,-0.23654,0.0097533,0.025653,TRUE,1298.091831,1561.920882,-0.26659,1.62E-05,4.83E-05,TRUE,340.3142655,589.6249943,-0.78599,2.43E-17,2.07E-16,TRUE,protein_coding,nuclear_factor_I/A
ENSG00000162598,C1orf87,chr1,-,60452941,60539442,3012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020256632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006752211,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0.411740045,-0.11406,0.75912,NA,NA,0,0,NA,NA,NA,NA,protein_coding,chromosome_1_open_reading_frame_87
ENSG00000213859,KCTD11,chr17,+,7255208,7258258,3051,404,230,215,513,451,358,730,522,493,819,990,796,181,133,141,166,208,239,229,162,180,201,194,140,5.509702089,4.778788112,4.299505062,6.266751509,5.93527026,5.905520567,11.06412377,9.975201577,10.33717285,13.80496855,13.5853085,14.00542174,3.505818054,3.099763674,3.095600492,3.414952164,3.212695363,3.699788216,3.493903457,2.444255534,2.563251397,2.871284813,2.993382225,3.237507652,10.45883273,6.035847445,3.442478581,4.862665088,3.233727407,13.79856627,3.03405823,2.833803463,189.4518822,176.6052735,0.077787,0.55259,0.78747,FALSE,803.6554194,611.0944673,0.3865,7.38E-07,3.75E-06,TRUE,391.9708243,299.4544669,0.37851,0.0012906,0.003187,TRUE,191.0623773,158.2000962,0.26394,0.075963,0.14196,FALSE,protein_coding,potassium_channel_tetramerisation_domain_containing_11
ENSG00000261608,SLC25A1P4,chr16,+,34407687,34408464,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,pseudogene,solute_carrier_family_25_(mitochondrial_carrier;_citrate_transporter)_member_1_pseudogene_4
ENSG00000228945,CLUHP2,chrY,+,20442064,20446647,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,pseudogene,clustered_mitochondria_(cluA/CLU1)_homolog_pseudogene_2
ENSG00000228941,UBE3AP2,chr21,-,32432919,32435487,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027784495,0,0,0,0,0,0,0,0,0,0,0.009261498,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.378109078,0,0.043813,0.84331,NA,NA,pseudogene,ubiquitin_protein_ligase_E3A_pseudogene_2
ENSG00000198792,TMEM184B,chr22,-,38615298,38669040,3667,553,375,356,964,723,628,808,589,642,814,1009,773,678,574,547,742,961,922,541,518,588,685,590,428,6.274847579,6.482648947,5.923266874,9.797909885,7.916506127,8.61918299,10.18912344,9.364784114,11.20008155,11.4158229,11.52011394,11.31602544,10.92626652,11.13063993,9.991815781,12.70023449,12.34982765,11.87520683,6.867584011,6.502684003,6.966703402,8.141456102,7.574321843,8.234890612,10.2513297,8.777866334,12.30842299,6.226921134,10.68290741,11.41732076,7.983556186,6.778990472,599.2639406,507.0612197,0.22176,0.0077675,0.043383,TRUE,799.2284706,719.778442,0.15037,0.056851,0.12107,FALSE,685.330658,461.0625136,0.56988,1.23E-08,4.64E-08,TRUE,820.6629693,627.9967211,0.38244,6.27E-07,2.68E-06,TRUE,protein_coding,transmembrane_protein_184B
ENSG00000198797,FAM5B,chr1,+,177140633,177251558,3558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06637205,0,0,0.04884442,0,0.013231123,0,0,0,0.022124017,0,0,0,0.004410374,0.016281473,0.319278021,1.173557437,-0.024955,0.52844,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1.444563873,0,0.33738,0.26788,NA,NA,protein_coding,family_with_sequence_similarity_5_member_B
ENSG00000175550,DRAP1,chr11,+,65686728,65689032,989,1729,1106,1082,1553,1448,1162,2681,2114,2016,3758,4358,3317,2411,1879,1994,2916,4025,3788,1883,1706,1777,2050,1663,1265,72.74240596,70.89098025,66.75029379,58.52514265,58.78661248,59.13263117,125.3536244,124.6241119,130.4041171,195.4133418,184.4877152,180.0422829,144.0634877,135.098224,135.0507077,185.0588982,191.7864906,180.8984519,88.62814389,79.40658803,78.06422302,90.3399807,79.15869226,90.24418133,126.7939511,58.81479543,185.9146136,70.12789333,138.0708065,186.64778,86.58095143,82.03298498,1752.980087,1655.617252,0.077779,0.25132,0.52282,FALSE,3524.580123,2400.793824,0.55135,7.22E-31,1.65E-29,TRUE,1237.769356,1400.305993,-0.17884,0.0043348,0.0099935,TRUE,3343.436998,2189.505611,0.60871,7.70E-41,1.41E-39,TRUE,protein_coding,DR1-associated_protein_1_(negative_cofactor_2_alpha)
